system:index,SO2_column_number_density,city,.geo
134,1.6475642711026166E-4,Nellore,"{""type"":""Point"",""coordinates"":[79.98650000000002,14.442600000000002]}"
135,1.6238595045948103E-4,Nizamabad,"{""type"":""Point"",""coordinates"":[78.0941,18.6725]}"
136,2.5478015004513433E-4,Noida,"{""type"":""Point"",""coordinates"":[77.391,28.535500000000003]}"
137,1.1003443145494027E-4,Ozhukarai,"{""type"":""Point"",""coordinates"":[79.7852,11.934099999999999]}"
138,9.713244834691226E-6,Palakkad,"{""type"":""Point"",""coordinates"":[76.6548,10.7867]}"
139,1.3255979492736268E-4,Pali,"{""type"":""Point"",""coordinates"":[73.3234,25.772500000000004]}"
140,4.08836486714309E-4,Panihati,"{""type"":""Point"",""coordinates"":[88.3748,22.690200000000004]}"
141,3.3967335401542887E-4,Panipat,"{""type"":""Point"",""coordinates"":[76.9635,29.390900000000002]}"
142,1.52691929380862E-4,Parbhani,"{""type"":""Point"",""coordinates"":[76.77670000000002,19.2704]}"
143,2.6463956968505125E-4,Patiala,"{""type"":""Point"",""coordinates"":[76.3869,30.3398]}"
144,2.044640842547753E-4,Patna,"{""type"":""Point"",""coordinates"":[85.1376,25.5941]}"
145,7.791736936365562E-5,Pimpri-Chinchwad,"{""type"":""Point"",""coordinates"":[73.7997,18.629799999999996]}"
146,1.27656907738908E-4,Puducherry,"{""type"":""Point"",""coordinates"":[79.8083,11.941600000000001]}"
147,-1.7251991119127604E-5,Pune,"{""type"":""Point"",""coordinates"":[73.8567,18.5204]}"
148,1.3296543343891486E-4,Purnia,"{""type"":""Point"",""coordinates"":[87.4753,25.7771]}"
149,1.618964491016125E-4,Raichur,"{""type"":""Point"",""coordinates"":[77.3566,16.2076]}"
150,4.130762759417368E-4,Raipur,"{""type"":""Point"",""coordinates"":[81.6296,21.2514]}"
151,3.105883520590027E-5,Rajahmundry,"{""type"":""Point"",""coordinates"":[81.804,17.0005]}"
152,2.2149254955746174E-4,Rajkot,"{""type"":""Point"",""coordinates"":[70.8022,22.3039]}"
153,3.3380794770511456E-4,Rajnandgaon,"{""type"":""Point"",""coordinates"":[81.0299,21.0974]}"
154,2.579179206191277E-4,Rampur,"{""type"":""Point"",""coordinates"":[79.025,28.789499999999997]}"
155,1.7050193963234365E-4,Ranchi,"{""type"":""Point"",""coordinates"":[85.3096,23.3441]}"
156,1.235075050744109E-4,Ratlam,"{""type"":""Point"",""coordinates"":[75.037,23.3342]}"
157,1.082602466763823E-4,Rayagada,"{""type"":""Point"",""coordinates"":[83.4162,19.1726]}"
158,2.069078053165607E-4,Rohtak,"{""type"":""Point"",""coordinates"":[76.6066,28.895500000000002]}"
159,2.2849046685833354E-4,Roorkee,"{""type"":""Point"",""coordinates"":[77.888,29.8543]}"
160,2.2081750587708905E-4,Saharanpur,"{""type"":""Point"",""coordinates"":[77.5452,29.967900000000004]}"
161,1.0816140956628036E-4,Salem,"{""type"":""Point"",""coordinates"":[78.146,11.6643]}"
162,4.67400792191636E-4,Sambalpur,"{""type"":""Point"",""coordinates"":[83.9812,21.466900000000003]}"
163,4.757501937821349E-5,Sangli,"{""type"":""Point"",""coordinates"":[74.5815,16.8524]}"
164,1.0259144854106641E-4,Satara,"{""type"":""Point"",""coordinates"":[74.0183,17.68049999999999]}"
165,2.2364455541106423E-4,Shahjahanpur,"{""type"":""Point"",""coordinates"":[79.9094,27.8815]}"
166,2.0246456955346702E-4,Shimla,"{""type"":""Point"",""coordinates"":[77.1734,31.104800000000004]}"
167,4.182190027440682E-5,Shivamogga,"{""type"":""Point"",""coordinates"":[75.5681,13.9299]}"
168,7.448904111607583E-5,Shivpuri,"{""type"":""Point"",""coordinates"":[77.657,25.423500000000004]}"
169,9.356031747913783E-5,Sikar,"{""type"":""Point"",""coordinates"":[75.1399,27.609399999999997]}"
170,1.1945442302129845E-4,Siliguri,"{""type"":""Point"",""coordinates"":[88.39530000000002,26.7271]}"
171,5.285691031990065E-4,Singrauli,"{""type"":""Point"",""coordinates"":[82.6754,24.199]}"
172,2.18927532330052E-4,Sitapur,"{""type"":""Point"",""coordinates"":[80.6744,27.561900000000005]}"
173,1.1896503305710559E-4,Solapur,"{""type"":""Point"",""coordinates"":[75.90640000000002,17.6599]}"
174,3.749521914705609E-4,South Dumdum,"{""type"":""Point"",""coordinates"":[88.4,22.61]}"
175,4.181122513564619E-5,Srinagar,"{""type"":""Point"",""coordinates"":[74.79730000000002,34.08370000000001]}"
176,2.848025059005219E-4,Surat,"{""type"":""Point"",""coordinates"":[72.8311,21.1702]}"
177,1.7455578303497395E-4,Thane,"{""type"":""Point"",""coordinates"":[72.9781,19.2183]}"
178,3.356384607447355E-5,Thanjavur,"{""type"":""Point"",""coordinates"":[79.1378,10.786700000000003]}"
179,4.082060310076114E-5,Thrissur,"{""type"":""Point"",""coordinates"":[76.2144,10.5276]}"
180,7.3608890596175E-5,Tiruchirappalli,"{""type"":""Point"",""coordinates"":[78.7047,10.790500000000002]}"
181,4.4090809019335004E-5,Tirunelveli,"{""type"":""Point"",""coordinates"":[77.75670000000001,8.7139]}"
182,5.773281244144992E-5,Tirupati,"{""type"":""Point"",""coordinates"":[79.4192,13.6288]}"
183,6.595449574574754E-5,Tiruppur,"{""type"":""Point"",""coordinates"":[77.3411,11.108500000000001]}"
184,8.262511134024866E-5,Tiruvottiyur,"{""type"":""Point"",""coordinates"":[80.3042,13.157800000000002]}"
185,4.142146887107884E-5,Tumkur,"{""type"":""Point"",""coordinates"":[77.101,13.340899999999998]}"
186,1.7886300143238933E-4,Udaipur,"{""type"":""Point"",""coordinates"":[73.7125,24.5854]}"
187,1.4588054087979454E-4,Ujjain,"{""type"":""Point"",""coordinates"":[75.7849,23.1793]}"
188,1.966950756989819E-4,Ulhasnagar,"{""type"":""Point"",""coordinates"":[73.16450000000002,19.221500000000002]}"
189,2.122609702435032E-4,Vadodara,"{""type"":""Point"",""coordinates"":[73.1812,22.30720000000001]}"
190,1.63329155116759E-4,Varanasi,"{""type"":""Point"",""coordinates"":[82.9739,25.3176]}"
191,1.5061355436149878E-4,Vasai-Virar,"{""type"":""Point"",""coordinates"":[72.8397,19.391900000000003]}"
192,7.094791163630801E-5,Vellore,"{""type"":""Point"",""coordinates"":[79.1325,12.9165]}"
193,1.0519597753681549E-4,Vijayanagaram,"{""type"":""Point"",""coordinates"":[83.39560000000002,18.1165]}"
194,8.933433633554874E-5,Vijayawada,"{""type"":""Point"",""coordinates"":[80.648,16.5062]}"
195,1.9297425012724666E-4,Viluppuram,"{""type"":""Point"",""coordinates"":[79.4924,11.9398]}"
196,1.7828144647445086E-4,Visakhapatnam,"{""type"":""Point"",""coordinates"":[83.2185,17.6868]}"
197,8.236694467182001E-5,Warangal,"{""type"":""Point"",""coordinates"":[79.5941,17.9784]}"
