system:index,SoilMoi0_10cm_inst,city,.geo
143,14.384407997131348,Patiala,"{""type"":""Point"",""coordinates"":[76.3869,30.3398]}"
144,18.874876022338867,Patna,"{""type"":""Point"",""coordinates"":[85.1376,25.5941]}"
145,26.344009399414062,Pimpri-Chinchwad,"{""type"":""Point"",""coordinates"":[73.7997,18.629799999999996]}"
146,,Puducherry,"{""type"":""Point"",""coordinates"":[79.8083,11.941600000000001]}"
147,26.344009399414062,Pune,"{""type"":""Point"",""coordinates"":[73.8567,18.5204]}"
148,18.266517639160156,Purnia,"{""type"":""Point"",""coordinates"":[87.4753,25.7771]}"
149,19.739660263061523,Raichur,"{""type"":""Point"",""coordinates"":[77.3566,16.2076]}"
150,15.412763595581055,Raipur,"{""type"":""Point"",""coordinates"":[81.6296,21.2514]}"
151,21.235204696655273,Rajahmundry,"{""type"":""Point"",""coordinates"":[81.804,17.0005]}"
152,23.059255599975586,Rajkot,"{""type"":""Point"",""coordinates"":[70.8022,22.3039]}"
153,14.999368667602539,Rajnandgaon,"{""type"":""Point"",""coordinates"":[81.0299,21.0974]}"
154,14.891054153442383,Rampur,"{""type"":""Point"",""coordinates"":[79.025,28.789499999999997]}"
155,14.842284202575684,Ranchi,"{""type"":""Point"",""coordinates"":[85.3096,23.3441]}"
156,20.17972183227539,Ratlam,"{""type"":""Point"",""coordinates"":[75.037,23.3342]}"
157,18.06345558166504,Rayagada,"{""type"":""Point"",""coordinates"":[83.4162,19.1726]}"
158,14.317957878112793,Rohtak,"{""type"":""Point"",""coordinates"":[76.6066,28.895500000000002]}"
159,13.914471626281738,Roorkee,"{""type"":""Point"",""coordinates"":[77.888,29.8543]}"
160,13.60405158996582,Saharanpur,"{""type"":""Point"",""coordinates"":[77.5452,29.967900000000004]}"
161,22.58738899230957,Salem,"{""type"":""Point"",""coordinates"":[78.146,11.6643]}"
162,22.956256866455078,Sambalpur,"{""type"":""Point"",""coordinates"":[83.9812,21.466900000000003]}"
163,21.3170223236084,Sangli,"{""type"":""Point"",""coordinates"":[74.5815,16.8524]}"
164,19.714670181274414,Satara,"{""type"":""Point"",""coordinates"":[74.0183,17.68049999999999]}"
165,13.636908531188965,Shahjahanpur,"{""type"":""Point"",""coordinates"":[79.9094,27.8815]}"
166,18.843008041381836,Shimla,"{""type"":""Point"",""coordinates"":[77.1734,31.104800000000004]}"
167,18.13251495361328,Shivamogga,"{""type"":""Point"",""coordinates"":[75.5681,13.9299]}"
168,19.184545516967773,Shivpuri,"{""type"":""Point"",""coordinates"":[77.657,25.423500000000004]}"
169,11.618975639343262,Sikar,"{""type"":""Point"",""coordinates"":[75.1399,27.609399999999997]}"
170,22.83268165588379,Siliguri,"{""type"":""Point"",""coordinates"":[88.39530000000002,26.7271]}"
171,15.074846267700195,Singrauli,"{""type"":""Point"",""coordinates"":[82.6754,24.199]}"
172,13.880552291870117,Sitapur,"{""type"":""Point"",""coordinates"":[80.6744,27.561900000000005]}"
173,23.746341705322266,Solapur,"{""type"":""Point"",""coordinates"":[75.90640000000002,17.6599]}"
174,27.93671226501465,South Dumdum,"{""type"":""Point"",""coordinates"":[88.4,22.61]}"
175,24.084243774414062,Srinagar,"{""type"":""Point"",""coordinates"":[74.79730000000002,34.08370000000001]}"
176,28.968421936035156,Surat,"{""type"":""Point"",""coordinates"":[72.8311,21.1702]}"
177,28.726472854614258,Thane,"{""type"":""Point"",""coordinates"":[72.9781,19.2183]}"
178,20.51498031616211,Thanjavur,"{""type"":""Point"",""coordinates"":[79.1378,10.786700000000003]}"
179,27.695537567138672,Thrissur,"{""type"":""Point"",""coordinates"":[76.2144,10.5276]}"
180,18.301511764526367,Tiruchirappalli,"{""type"":""Point"",""coordinates"":[78.7047,10.790500000000002]}"
181,17.65746307373047,Tirunelveli,"{""type"":""Point"",""coordinates"":[77.75670000000001,8.7139]}"
182,16.400367736816406,Tirupati,"{""type"":""Point"",""coordinates"":[79.4192,13.6288]}"
183,22.065038681030273,Tiruppur,"{""type"":""Point"",""coordinates"":[77.3411,11.108500000000001]}"
184,,Tiruvottiyur,"{""type"":""Point"",""coordinates"":[80.3042,13.157800000000002]}"
185,19.61387825012207,Tumkur,"{""type"":""Point"",""coordinates"":[77.101,13.340899999999998]}"
186,14.775593757629395,Udaipur,"{""type"":""Point"",""coordinates"":[73.7125,24.5854]}"
187,20.529132843017578,Ujjain,"{""type"":""Point"",""coordinates"":[75.7849,23.1793]}"
188,21.910980224609375,Ulhasnagar,"{""type"":""Point"",""coordinates"":[73.16450000000002,19.221500000000002]}"
189,19.641494750976562,Vadodara,"{""type"":""Point"",""coordinates"":[73.1812,22.30720000000001]}"
190,14.2025146484375,Varanasi,"{""type"":""Point"",""coordinates"":[82.9739,25.3176]}"
191,20.379581451416016,Vasai-Virar,"{""type"":""Point"",""coordinates"":[72.8397,19.391900000000003]}"
192,19.51934242248535,Vellore,"{""type"":""Point"",""coordinates"":[79.1325,12.9165]}"
193,15.334418296813965,Vijayanagaram,"{""type"":""Point"",""coordinates"":[83.39560000000002,18.1165]}"
194,17.194921493530273,Vijayawada,"{""type"":""Point"",""coordinates"":[80.648,16.5062]}"
195,17.452003479003906,Viluppuram,"{""type"":""Point"",""coordinates"":[79.4924,11.9398]}"
196,16.58157730102539,Visakhapatnam,"{""type"":""Point"",""coordinates"":[83.2185,17.6868]}"
197,19.0534725189209,Warangal,"{""type"":""Point"",""coordinates"":[79.5941,17.9784]}"
