system:index,City,PM25,.geo
184,Tiruvottiyur,-0.44315084541807,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,Tumkur,-0.4364050686124534,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,Udaipur,-0.02638037330910985,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,Ujjain,-0.1349014722997085,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,Ulhasnagar,-0.047256488859940736,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,Vadodara,0.20180090222320735,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,Varanasi,0.07364541369521561,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,Vasai-Virar,-0.116440848444459,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,Vellore,-0.42537564674149697,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,Vijayanagaram,-0.3662338247407678,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,Vijayawada,-0.2968765370418766,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,Viluppuram,-0.4563256271803891,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,Visakhapatnam,-0.4596155838577588,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,Warangal,-0.3524387674641098,"{""type"":""MultiPoint"",""coordinates"":[]}"
